seconds,stage,highestStage,deaths,attackLevel,healthLevel,regenLevel,critLevel,attack,gold,diamonds,mission,goldCave,relicCave
7.62,0,0,0,3,3,3,3,351.0445,10,1998,1,0,0
318.50,10,10,1,267,267,267,266,50110.05,3,548,36,0,0
709.60,20,20,1,387,387,387,386,220998.813,2503,2048,58,0,0
1282.74,30,30,1,475,475,475,474,550744.2,64,1508,80,0,0
1882.76,39,39,1,545,544,544,544,1633280.5,154,568,102,0,0
1917.98,40,40,1,545,544,544,544,1633280.5,154,568,102,0,0
2518.00,49,49,1,598,597,597,597,2695586.75,3289,2068,120,0,0
2562.66,50,50,1,602,601,601,601,2796571.5,50,2068,120,0,0
3142.70,60,60,1,672,672,672,671,7568598,3987,1828,148,1,1
3613.86,70,70,1,717,717,717,717,11416051,64,1188,170,1,1
4117.94,80,80,1,752,752,752,752,15797191,7291,2488,192,1,1
4635.98,90,90,1,792,792,792,792,2.259608E+07,436,2148,214,1,1
5163.66,100,100,1,824,824,824,823,30498142,69,1248,236,1,1
5763.68,109,109,1,864,864,864,863,44544936,465,1008,258,2,2
5783.40,110,110,1,868,868,868,867,46123308,447,1008,258,2,2
6282.36,120,120,1,896,896,896,895,58995988,209,2408,280,2,2
6793.98,130,130,1,922,922,922,922,7.583379E+07,148,1668,302,2,2
7304.80,140,140,1,947,947,947,946,9.442588E+07,212,1128,324,2,2
7851.06,150,150,1,969,969,969,969,114382888,649,528,346,2,2
8451.08,158,158,1,998,998,998,997,148173040,694,1888,368,3,3
8506.52,160,160,1,1000,1000,1000,999,150730528,113,2088,368,3,3
9031.96,170,170,1,1021,1020,1020,1020,180818944,8601,1348,390,3,3
9591.60,180,180,1,1041,1040,1040,1040,215424528,1143,748,412,3,3
10161.56,190,190,1,1060,1060,1060,1059,253866864,212,2208,434,3,3
10758.06,200,200,1,1078,1078,1078,1077,301728224,9927,1708,456,3,3
11331.56,210,210,1,1096,1096,1096,1095,352542720,600,1068,478,3,3
11895.48,220,220,1,1114,1113,1113,1113,416242752,248,2428,500,3,3
12467.24,230,230,1,1131,1130,1130,1130,484543584,1248,2028,522,3,3
13059.72,240,240,1,1147,1147,1146,1146,556909440,81,1288,544,3,3
13657.16,250,250,1,1164,1164,1164,1163,6.478906E+08,1383,748,566,3,3
14240.79,260,260,1,1179,1179,1179,1179,7.373983E+08,1453,2348,588,3,3
14825.33,270,270,1,1194,1194,1193,1193,873288960,858,1508,610,3,3
15409.33,280,280,1,1208,1208,1208,1207,9.851844E+08,752,1068,632,3,3
15995.41,290,290,1,1222,1222,1221,1221,1.11330534E+09,765,2468,654,3,3
16571.33,300,300,1,1235,1235,1235,1235,1.25331571E+09,2486,1928,676,3,3
